artist_name,album_name,album_id
Bad Bunny,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5
Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu
The Weeknd,Starboy,2ODvWsOgouMbaA5xf0RkJe
Dua Lipa,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9
Dua Lipa,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI
Post Malone,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR
The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj
Olivia Rodrigo,SOUR,6s84u2TUpR3wdUv4NgKA2j
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh
XXXTENTACION,?,2Ti79nwTsont5ZHfdxIzAm
Drake,Scorpion,1ATL5GLyefJaxhQzSPVrLX
Justin Bieber,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr
Bad Bunny,YHLQMDLG,5lJqux7orBlA1QzyiBGti1
Drake,Views,40GMAhriYJRO1rsY4YdrZb
The Weeknd,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s
Post Malone,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC
Harry Styles,Fine Line,7xV2TzoaVc0ycW7fwBwAml
DONT SMILE AT ME,I Dont Want to Go Outside Ever Again.,6z910XPVujk90R5OXM6Rws
Juice WRLD,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ
Sam Smith,In The Lonely Hour,08jWgM4vSkTose4blKBWov
Taylor Swift,Lover,1NAmidJlEaVgA3MpcPFYGq
Travis Scott,ASTROWORLD,41GuZcammIkupMPKH2OJ6I
Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70
XXXTENTACION,17,5VdyJkLe3yvOs0l4xXbWp0
Justin Bieber,Justice,5dGWwsZ9iB2Xc3UKR0gif2
Imagine Dragons,Evolve,33pt9HBdGlAbRGBHQgsZsU
Taylor Swift,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg
Ariana Grande,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw
Kendrick Lamar,DAMN.,4eLPsYPBmXABThSJ821sqY
Pop Smoke,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc
Taylor Swift,Midnights,151w1FgRZfnKZA9FEcg9Z3
Bruno Mars,Doo-Wops & Hooligans,1uyf3l2d4XYwiEqAb7t7fX
Doja Cat,Planet Her,1nAQbHeOWTfQzbOoFrvndW
Shawn Mendes,Shawn Mendes,2VP96XdMOKTXefI8Nui23s
The Kid LAROI,F*CK LOVE 3+: OVER YOU,576UTio7xgY7YUxrHMzxeI
Harry Styles - Piano Covers,Harry Styles - Harry's House (Piano Covers),6XCpLLxr9adk3jwrHLqRLQ
Twenty One Pilots,Blurryface,3cQO7jp5S9qLBoIVtbkSM1
Taylor Swift,reputation,6DEjYFkNZh67HP7R9PSZvv
Drake,More Life,1lXY618HWkwYKJWBRYR4MK
Shawn Mendes,Illuminate (Deluxe),3wBabo4pmzsYjALMSKY7Iq
Imagine Dragons,Night Visions,6htgf3qv7vGcsdxLCDxKp8
Taylor Swift,folklore,2fenSS68JI1h4Fo296JfGr
Lana Del Rey,Born To Die – Paradise Edition (Special Version),0Dt3FbpMQwjoT5KNAw0IXR
Rihanna,ANTI (Deluxe),4UlGauD7ROb3YbVOFMgW5u
Adele,21,0Lg1uZvI312TPqxNWShFXL
Adele,25,3AvPX1B1HiFROvYjLb5Qwi
Ariana Grande,Dangerous Woman,3pdKKSqqLVIKmRTGw0x2N7
J. Cole,2014 Forest Hills Drive,0UMMIkurRUmkruZ3KGBLtG
UZI,Kan,3IBcauSj5M2A6lTeffJzdv
UZI,EL CHAVO,6nmFMrH9R3JpIgxtiJq3hY
Ezhel,Müptezhel,5mo701EsMb8GFdF4YL3NG8
Murda,Made In Turkey,6YAnmcTG1SWdNCGpuLdCUM
Yüzyüzeyken Konuşuruz,Akustik Travma,0Erg7yjR99NFQcdh9rYMZU
Ben Fero,ORMAN KANUNLARI,2UZHAm0SqN4Ae4PR6GHCRx
Ufo361,Lights Out,3gSlFOtOhV1OS3qTQx4g55
Dolu Kadehi Ters Tut,Karanlık,6XQYptMz07Qqlcj6FthKpS
Mabel Matiz,Maya,1SjI5mOEGsnrfHRR4zY88f
Simge,Ben Bazen,3q1dbJRFdUAdvRcq7Kmwra
Onur Can Özcan,Yaramızda Kalsın,3KxWgiua2gAClmIDcGAoIs
Adamlar,Dünya Günlükleri,3OIhzweJb5vgDOnPHTl3Dp
Duman,Belki Alışman Lazım,5TQ4ZTyFM7FTDpnfSjE54l
Gazapizm,HİZA,730v11m4FWgDUnl9Gte19s
mor ve ötesi,Dünya Yalan Söylüyor,0QbpgPjg5eOU5ltJ05r4V7
Motive,ROMANTİK,5xrtVOLOp6Yh3hmw8SuJVB
Güneş,Atlantis,1cMvvPcywFlOGLlAzSbYDz
Heijan,Hermano,75VicDyzJQYjtYdtDyGxn4
Model,Diğer Masallar,7tF0MZQNVA3pRwwcwN4obL
Lvbel C5,C5MODE,7wl0FR75O4TFKi6QaM4gFu
maNga,Şehr-i Hüzün,3z4hTAl9eQVOG1H10f0TW1
Yaşlı Amca,Akşamüstü,6zOf3fDD0cqutsJ6xKF0pq
Adamlar,Rüyalarda Buruşmuşuz,1A4oBX00tNGOO7k4jC5HEt
BEGE,BEGEFENDİ,1bLYA9GJ8OD7FAZTbrFjMj
Duman,Darmaduman,6MrE8aTkCV6xuSnVCRJ1Wz
Duman,Seni Kendime Sakladım,2gvskYWFqq1fW8scp1kdsj
Müslüm Gürses,Aşk Tesadüfleri Sever (Mucize ve Buluşma),5Q3EXfOt4y9MSS6FZJYA7M
Ziynet Sali,Yaşam Çiçeği,0PEw8EZ84GWGe3YTeeBqbx
Ceza,Rapstar,2rXqr1wMTX1ULlszIUT1lr
Murda,DOĞA,1N63GeXwfNpOWfJyPPRjJT
Mabel Matiz,Fatih,7eB3zd25eiAwsUMCcLpRCf
Emir Can İğrek,Ağır Roman,5ux7MVV2OT5BOOLXETC4qL
Tarkan,Ölürüm Sana,6ebdbUXZn5AURKeRNXqiay
Sezen Aksu,Sen Ağlama,13JKU1RyLFS73hDvWnTHr1
Rei 6,Dibe İniyorum (Demo),0rFC7uGCJIBQFnEBP5W2jd
Sezen Aksu,DEMO 2,6VREPzIN5iod9DJRsTfJrR
Madrigal,Neogazino,24ohBXA9KS4lIq1ebnirp6
Reynmen,RnBesk,18oyxsxfmholJvUBshmFui
cakal,Paradoks,4H5WUnotu7FGuDVhQhophq
Kalben,Sonsuza Kadar,3ETbFTNmbuKtqoRtnmjTI0
Emir Can İğrek,Parti İptal,1rx7Cdhc8lZwEbPkd2zLlF
Canozan,Dolunay,1RVWhU5IGCI359SFJWRcNk
Reckol,Özlüce Trap Boys,25IijI9Sj18bLrGBIlEjZq
Kalben,Kalben,2ZNGcZxC3mif7jTBmnnMrT
Lia Shine,Bir Şeytan Masalı,0YpM7NeedzcdGHPKWM2PO6
Yüksek Sadakat,Yüksek Sadakat,4nPhHTUeOSvZCNztvyfoGA
No.1,Siyah Bayrak,1eZpcdbKF4cfDcooW7hTkO
Dolu Kadehi Ters Tut,Polonya'nın Başı Belada,7l77ElvDZaqBTDpepf2TGG
Pinhani,İnandığın Masallar,4hQKu5j0jiexssaQc8A2HQ
